ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
442;Akira;1988;12;124;8,0;193 128;$0.55M;Animation; Action; Drama
443;Le peuple loup;2020;Tous publics;103;8,0;;;Animation; Action; Adventure
444;Pink Floyd: The Wall;1982;12;95;8,0;82 891;$22.24M;Drama; Fantasy; Music
445;Le Château dans le ciel;1986;Tous publics;125;8,0;;;Animation; Adventure; Family
446;Les ailes du désir;1987;Tous publics;128;8,0;73 298;$3.33M;Drama; Fantasy; Romance
447;Le chant de la mer;2014;Tous publics;93;8,0;60 474;$0.86M;Animation; Adventure; Drama
448;Le conte de la princesse Kaguya;2013;Tous publics;137;8,0;49 525;$1.51M;Animation; Drama; Family
449;L'Ange exterminateur;1962;Tous publics;95;8,0;;;Drama; Fantasy;
450;Boulevard du Crépuscule;1950;Tous publics;110;8,4;;;Drama; Film-Noir;
451;Assurance sur la mort;1944;Tous publics;107;8,3;160 581;$5.72M;Crime; Drama; Film-Noir
452;Le troisième homme;1949;Tous publics;104;8,1;175 143;$0.45M;Film-Noir; Mystery; Thriller
453;Rebecca;1940;Tous publics;130;8,1;140 583;$4.36M;Drama; Film-Noir; Mystery
454;Le gouffre aux chimères;1951;Tous publics;111;8,1;37 386;$3.97M;Drama; Film-Noir;
455;L'enfer est à lui;1949;16;114;8,1;;;Action; Crime; Drama
456;Le faucon maltais;1941;Tous publics;100;8,0;162 045;$2.11M;Crime; Film-Noir; Mystery
457;La nuit du chasseur;1955;Tous publics;92;8,0;92 175;$0.65M;Crime; Drama; Film-Noir
458;La griffe du passé;1947;Tous publics;97;8,0;;;Crime; Drama; Film-Noir
459;La soif du mal;1958;Tous publics;95;8,0;106 815;$2.24M;Crime; Drama; Film-Noir
460;Le Grand Chantage;1957;Tous publics;96;8,0;;;Drama; Film-Noir;
461;Le roman de Mildred Pierce;1945;Tous publics;111;7,9;;;Crime; Drama; Film-Noir
462;L'ultime razzia;1956;Tous publics;84;7,9;;;Crime; Drama; Film-Noir
463;L'Inconnu du Nord-Express;1951;16;101;7,9;136 719;$7.63M;Crime; Drama; Film-Noir
464;Les enchaînés;1946;Tous publics;102;7,9;103 515;$10.46M;Drama; Film-Noir; Romance
465;Le grand sommeil;1946;Tous publics;114;7,9;87 874;$6.54M;Crime; Film-Noir; Mystery
466;Laura;1944;Tous publics;88;7,9;49 036;$4.36M;Drama; Film-Noir; Mystery
467;Le violent;1950;12;94;7,9;;;Drama; Film-Noir; Mystery
468;Le poison;1945;Tous publics;101;7,9;38 574;$9.46M;Drama; Film-Noir;
469;Règlement de comptes;1953;;89;7,9;;;Crime; Film-Noir; Thriller
